"subject","postquiz_experience","coded_experience"
335,"None.",1
339,"None.",1
347,"none",1
348,"none",1
352,"I have not done any",1
355,"none",1
358,"none",1
359,"None.",1
360,"Nothing",1
364,"None",1
365,"no",1
366,"None",1
368,"None",1
369,"None",1
372,"None at all",1
373,"none",1
378,"None",1
379,"NONE",1
381,"none",1
385,"None",1
396,"none",1
401,"NONE",1
404,"None",1
406,"None.",1
410,"none",1
411,"nothing",1
412,"None",1
415,"None",1
422,"none.",1
426,"none",1
427,"no",1
431,"none",1
432,"none",1
437,"NONE",1
439,"none",1
445,"none",1
448,"none",1
450,"None",1
459,"None",1
465,"None",1
467,"none",1
468,"None",1
469,"None",1
476,"None",1
478,"No Experience",1
480,"None",1
481,"none",1
485,"None",1
487,"No. I work new and good",1
488,"Nope",1
489,"10 rounds of counting programming done to participate.",1
491,"None",1
494,"none",1
496,"None.",1
497,"none",1
15,"very very little",2
103,"A little.",2
133,"Just the basics.",2
146,"some times",2
153,"Pretty much none.  I think I might have written something simple in high school, but nothing practical.",2
160,"I have a basic understanding of computer programming",2
207,"I've worked in creative agencies with developers & have learned some things, but am not proficient.",2
219,"hardly any",2
233,"Very little",2
253,"Limited",2
278,"little",2
295,"Just learning to build a website right now.",2
315,"Built a website once",2
336,"built a website once",2
337,"little",2
338,"messing around on my own but no training",2
395,"very little",2
419,"built a website once.",2
428,"I have watched some videos and had some friends who did programming in the past but that is it!",2
442,"I am beginner level.",2
453,"Built a website once in High School.",2
454,"I have built my own website. It's a portfolio for my art/ place where costumers can buy my artwork.",2
457,"built a wix website",2
492,"some but not a lot",2
48,"Did light website updating over a decade ago.  I work in Tech support and got an MCSE in 2002 but haven't really done any programming per se.  I do edit settings in computers but this is simple .txt editing oftentimes.",2
70,"beginner",2
91,"Not a whole lot. Created a few web pages about 25 years ago and that was the extent of it!",2
19,"I took a few computer programming classes in college, but only beginner courses.",3
59,"I did some Visual basic in College, and a little flash programming",3
62,"Some website building, a few simple classes.",3
66,"I have done very little computer programming - I took a couple of classes in college but that was many, many years ago and included basic, pascal and cobol (very ancient)",3
88,"basic programming",3
108,"Took a couple of classes",3
119,"Built quite a few websites.",3
125,"I have an Associates Degree in computer programming I received in 1982, but I have not ever done it professionally or since then at all really, except for some very basic scripts dealing with DOS in the 80's.",3
135,"I've taken programming classes 20 years ago but I don't know it anymore.  C++ and Pascal.  I do know little HTML.",3
138,"I took a beginner programming class in college about 25 years ago",3
140,"Built a few personal websites",3
152,"How do I even answer this? I've been in software testing for a while and have done some as needed for test cases. I've also done some web development.",3
158,"I tried BASIC decades ago",3
163,"I took a class in high school and I've made a few very simple 4-5 line scripts for MTurk.",3
166,"I have build a website",3
170,"A couple courses",3
174,"None, just tried to build a easy website years ago",3
192,"I did some computer programming in High School, but very early.",3
228,"Took BASIC in high school, tried to teach myself a bit of javascript and html/css but not much.",3
231,"basic",3
245,"Educational background in electrical engineering. I know a little but don't consider myself very competent.",3
255,"basic python. learned it 6 years ago",3
256,"I have built a few websites and done a little bit of scripting, but other than that, no computer programming.",3
285,"a couple of programming courses in college a long, long, long, long time ago",3
289,"networking and system admin, but no programming",3
296,"Some programming classes. Done simple websites.",3
301,"1 course of VB.net in high school",3
303,"Built a few websites using templates",3
311,"took  a college class",3
322,"Built a few websites. Taken a few programming classes.",3
346,"I have written some software in my life.",3
384,"C++ and little of PHP",3
390,"Some basic programming knowledge.",3
393,"Some html in highschool",3
400,"Python class",3
413,"I've taken several introductory classes but I've never gone beyond the basics.",3
430,"I took a 200 level Matlab course in college but that was some time ago.",3
452,"Not much. I know a little bit of javascript and ahk, but I'm not a programmer.",3
456,"basic computer programming",3
460,"I did some programming as a teenager and took some college programming classes.",3
474,"basic",3
475,"Only very little Python experience, simple console output calculators and stuff.",3
483,"Some coding",3
31,"c and c++",4
34,"I majored in Information Systems in college. So I did many programming classes for my education, but I haven't actually done any programming in around 7 years so I have forgotten a lot of it.",4
73,"Quite a bit as a researcher and grad student - it's been a while",4
95,"Casual developer. I create my own programs (small scale text processing and such) from time to time",4
162,"MFA in computer-based art",4
173,"I have taken some courses in computer programming when I was in college. I use python from time to time, and have some experience using it in a GIS environment. I have experience writing SAS code as well.",4
243,"I've been programming since I was eight years old",4
269,"I have done  programmers to hold at least a bachelor's degree in a field such as computer science, mathematics or information systems. Four years of directly related work experience is acceptable in place of a bachelors degree in many cases.",4
297,"computer programming in many levels.",4
298,"I have a BA in computer science but am not a programmer",4
300,"A lot as I hold a computer science degree.",4
318,"I did many computer programming",4
319,"Computer Science degree",4
354,"Bachelor's degree in Computer Science.",4
361,"I am studied computer as a degree and know about language.",4
367,"A LOT over many years.",4
451,"very much",4
458,"Proficient computing, and programming.",4
12,"professional developer",5
25,"App developer",5
45,"Software programmer",5
81,"I am a statistical programmer in SAS for my career.",5
111,"Have knowledge of it. Because I only do work related to it.",5
127,"developer",5
145,"Quite a bit, I work in Python.",5
149,"analyze data with python",5
155,"I have been a professional web developer for 4 years.",5
187,"professional developer",5
196,"A lot-web developer.",5
208,"professional.",5
252,"I' m a computer programmer with experience of 5+ years. I did a master's in Computer science.",5
270,"I am a professional web developer.",5
313,"PROFESSIONAL DEVELOPERS",5
357,"I have done some programming for my job related activities.",5
371,"Built ecommerce websites and phones apps",5
402,"data processor",5
486,"web developer",5
498,"Professional Developer",5
